Experiment;Name;Year;Crop;AbBiom;AbBiomNc;OrgBiom/Fruit;Grain_dm_nconc_%;OrgBiom/Shoot;Cop_dm_kg_ha;Cop_dm_nconc_%;Leaf_dm_kg_ha;Tuber_dm_kg_ha;Tuber_dm_nconc_%;Emergence;Stem_elongation;Anthesis;Maturity;SWAT_0 - 30;SWAT_30 - 60;SWAT_60 - 90;NMIN_0 - 30;NMIN_30 - 60;NMIN_60 - 90;SWAT_0 - 30;SWAT_30 - 60;SWAT_60 - 90;NMIN_0 - 30;NMIN_30 - 60;NMIN_60 - 90;SWAT_0 - 30;SWAT_30 - 60;SWAT_60 - 90;NMIN_0 - 30;NMIN_30 - 60;NMIN_60 - 90
;Event;;;harvesting;harvesting;harvesting;harvesting;harvesting;harvesting;harvesting;harvesting;harvesting;harvesting;emergence;cereal-stem-elongation;anthesis;maturity;sowing;sowing;sowing;sowing;sowing;sowing;anthesis;anthesis;anthesis;anthesis;anthesis;anthesis;harvesting;harvesting;harvesting;harvesting;harvesting;harvesting
;MONICA_output;;;AbBiom;AbBiomNc;"[""OrgBiom"", ""FRUIT""]";YieldNc;"[""OrgBiom"", ""Shoot""]";"[""OrgBiom"", ""FRUIT""]";YieldNc;"[""OrgBiom"", ""Leaf""]";"[""OrgBiom"", ""FRUIT""]";YieldNc;emergence;cereal-stem-elongation;anthesis;maturity;"[""Mois"", [1, 3], ""SUM""]";"[""Mois"", [4,6], ""SUM""]";"[""Mois"", [7,9], ""SUM""]";"[""N"", [1, 3], ""SUM""]";"[""N"", [4,6], ""SUM""]";"[""N"", [7,9], ""SUM""]";"[""Mois"", [1, 3], ""SUM""]";"[""Mois"", [4,6], ""SUM""]";"[""Mois"", [7,9], ""SUM""]";"[""N"", [1, 3], ""SUM""]";"[""N"", [4,6], ""SUM""]";"[""N"", [7,9], ""SUM""]";"[""Mois"", [1, 3], ""SUM""]";"[""Mois"", [4,6], ""SUM""]";"[""Mois"", [7,9], ""SUM""]";"[""N"", [1, 3], ""SUM""]";"[""N"", [4,6], ""SUM""]";"[""N"", [7,9], ""SUM""]"
EX1;ATB_Marquart;2015;WW;;;5265.57;;3199.85;;;;;;;;;17.07.2015;;;;;;;;;;;;;;;;;;
EX2;ATB_Marquart;2015;WW;;;4495.01;;2781.89;;;;;;;;;17.07.2015;;;;;;;;;;;;;;;;;;
EX3;ATB_Marquart;2015;WW;;;6659.09;;3987.18;;;;;;;;;17.07.2015;;;;;;;;;;;;;;;;;;
EX4;ATB_Marquart;2015;WW;;;7762.47;;4656.9;;;;;;;;;17.07.2015;;;;;;;;;;;;;;;;;;
EX5;ATB_Marquart;2016;WW;;;4079.41;;1807.51;;;;;;;28.04.2016;07.06.2016;04.07.2016;;;;;;;;;;;;;;;;;;
EX6;ATB_Marquart;2016;WW;;;5116.14;;2159.03;;;;;;;28.04.2016;07.06.2016;04.07.2016;;;;;;;;;;;;;;;;;;
EX7;ATB_Marquart;2016;WW;;;4054.69;;1661.09;;;;;;;28.04.2016;07.06.2016;04.07.2016;;;;;;;;;;;;;;;;;;
EX8;ATB_Marquart;2016;WW;;;5576.24;;2308.67;;;;;;;28.04.2016;07.06.2016;04.07.2016;;;;;;;;;;;;;;;;;;
EX9;ATB_Marquart;2017;WW;;;5463.82;;3543.34;;;;;;;;31.05.2016;12.07.2017;;;;;;;;;;;;;;;;;;
EX10;ATB_Marquart;2017;WW;;;6177.9;;4541.06;;;;;;;;31.05.2016;12.07.2017;;;;;;;;;;;;;;;;;;
EX11;FI_Dahlhausen;2018;SM;20227.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX12;FI_Dahlhausen;2018;SM;22874.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX13;FI_Dahlhausen;2018;SM;15055.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX14;FI_Dahlhausen;2018;SM;8107.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX15;FI_Dahlhausen;2019;WW;;;1823.31;;3907.33;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX16;FI_Dahlhausen;2019;WW;;;2261.33;;3558.59;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX17;FI_Dahlhausen;2019;WW;;;4962.98;;5355.64;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX18;FI_Dahlhausen;2019;WW;;;5281.25;;5102.65;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX19;FI_Dahlhausen;2020;PO;;;;;;;;;8510;;;;;;;;;;;;;;;;;;;;;;;
EX20;FI_Dahlhausen;2020;PO;;;;;;;;;7538.89;;;;;;;;;;;;;;;;;;;;;;;
EX21;FI_Dahlhausen;2020;PO;;;;;;;;;6497.5;;;;;;;;;;;;;;;;;;;;;;;
EX22;HUB_Thyrow_D1;2009;PO;;;;;;;;;3833.31;;;;;;;;;;;;;;;;;;;;;;;
EX23;HUB_Thyrow_D1;2009;WB;;;1280.02;;1165.41;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX24;HUB_Thyrow_D1;2009;WC;;;952.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX25;HUB_Thyrow_D1;2009;WR;;;1578.2;;1314.61;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX26;HUB_Thyrow_D1;2009;PO;;;;;;;;;7888.09;;;;;;;;;;;;;;;;;;;;;;;
EX27;HUB_Thyrow_D1;2009;WB;;;2858.14;;1965.37;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX28;HUB_Thyrow_D1;2009;WC;;;2051.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX29;HUB_Thyrow_D1;2009;WR;;;4401.91;;3486.6;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX30;HUB_Thyrow_D1;2009;PO;;;;;;;;;7710.54;;;;;;;;;;;;;;;;;;;;;;;
EX31;HUB_Thyrow_D1;2009;WB;;;3391.92;;2903.69;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX32;HUB_Thyrow_D1;2009;WC;;;3019.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX33;HUB_Thyrow_D1;2009;WR;;;5758.89;;4255.28;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX34;HUB_Thyrow_D1;2009;PO;;;;;;;;;6949.29;;;;;;;;;;;;;;;;;;;;;;;
EX35;HUB_Thyrow_D1;2009;WB;;;3101.42;;2322.21;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX36;HUB_Thyrow_D1;2009;WC;;;2850.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX37;HUB_Thyrow_D1;2009;WR;;;5640.91;;4140.03;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX38;HUB_Thyrow_D1;2009;WB;;;1127;;2591.94;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX39;HUB_Thyrow_D1;2009;WC;;;1077.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX40;HUB_Thyrow_D1;2009;WR;;;1409.3;;1591.09;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX41;HUB_Thyrow_D1;2009;WB;;;3290.27;;3017.81;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX42;HUB_Thyrow_D1;2009;WC;;;3117.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX43;HUB_Thyrow_D1;2009;WR;;;4256.01;;4387.25;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX44;HUB_Thyrow_D1;2009;WB;;;4641.84;;4010.07;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX45;HUB_Thyrow_D1;2009;WC;;;3898.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX46;HUB_Thyrow_D1;2009;WR;;;6051.82;;5241.72;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX47;HUB_Thyrow_D1;2009;WB;;;4599.34;;3613.71;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX48;HUB_Thyrow_D1;2009;WC;;;3958.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX49;HUB_Thyrow_D1;2009;WR;;;5897.67;;5425.33;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX50;HUB_Thyrow_D1;2010;PO;;;;;;;;;1332.86;;;;;;;;;;;;;;;;;;;;;;;
EX51;HUB_Thyrow_D1;2010;WC;;;1487.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX52;HUB_Thyrow_D1;2010;WR;;;1604.6;;2812.04;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX53;HUB_Thyrow_D1;2010;WW;;;908.39;;1121.17;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX54;HUB_Thyrow_D1;2010;PO;;;;;;;;;3611.73;;;;;;;;;;;;;;;;;;;;;;;
EX55;HUB_Thyrow_D1;2010;WC;;;3162.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX56;HUB_Thyrow_D1;2010;WR;;;4427.53;;7530.59;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX57;HUB_Thyrow_D1;2010;WW;;;3444.27;;4677.69;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX58;HUB_Thyrow_D1;2010;PO;;;;;;;;;5848.7;;;;;;;;;;;;;;;;;;;;;;;
EX59;HUB_Thyrow_D1;2010;WC;;;3217.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX60;HUB_Thyrow_D1;2010;WR;;;5171.19;;8529.92;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX61;HUB_Thyrow_D1;2010;WW;;;4139.36;;5407.87;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX62;HUB_Thyrow_D1;2010;PO;;;;;;;;;3791.02;;;;;;;;;;;;;;;;;;;;;;;
EX63;HUB_Thyrow_D1;2010;WC;;;3150.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX64;HUB_Thyrow_D1;2010;WR;;;4536.44;;8018.28;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX65;HUB_Thyrow_D1;2010;WW;;;3878.38;;5975.4;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX66;HUB_Thyrow_D1;2010;PO;;;;;;;;;1943.32;;;;;;;;;;;;;;;;;;;;;;;
EX67;HUB_Thyrow_D1;2010;WC;;;1379.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX68;HUB_Thyrow_D1;2010;WR;;;1504.18;;1872.7;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX69;HUB_Thyrow_D1;2010;WW;;;1265.24;;2334.83;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX70;HUB_Thyrow_D1;2010;PO;;;;;;;;;5031.69;;;;;;;;;;;;;;;;;;;;;;;
EX71;HUB_Thyrow_D1;2010;WC;;;3107.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX72;HUB_Thyrow_D1;2010;WR;;;4147.32;;6658.98;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX73;HUB_Thyrow_D1;2010;WW;;;3927.69;;5165.54;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX74;HUB_Thyrow_D1;2010;PO;;;;;;;;;5640.04;;;;;;;;;;;;;;;;;;;;;;;
EX75;HUB_Thyrow_D1;2010;WC;;;3446.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX76;HUB_Thyrow_D1;2010;WR;;;5213.84;;8589.72;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX77;HUB_Thyrow_D1;2010;WW;;;5656.01;;6791.39;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX78;HUB_Thyrow_D1;2010;PO;;;;;;;;;5019.42;;;;;;;;;;;;;;;;;;;;;;;
EX79;HUB_Thyrow_D1;2010;WC;;;3308.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX80;HUB_Thyrow_D1;2010;WR;;;5046.67;;7055.86;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX81;HUB_Thyrow_D1;2010;WW;;;5772.3;;7233.49;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX82;HUB_Thyrow_D1;2011;PO;;;;;;;;;3653.43;;;;;;;;;;;;;;;;;;;;;;;
EX83;HUB_Thyrow_D1;2011;WC;;;271.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX84;HUB_Thyrow_D1;2011;WR;;;1143.97;;1327.15;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX85;HUB_Thyrow_D1;2011;WW;;;1200.78;;818.23;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX86;HUB_Thyrow_D1;2011;PO;;;;;;;;;7899.31;;;;;;;;;;;;;;;;;;;;;;;
EX87;HUB_Thyrow_D1;2011;WC;;;990.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX88;HUB_Thyrow_D1;2011;WR;;;3084.67;;3445.36;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX89;HUB_Thyrow_D1;2011;WW;;;3397.58;;2629.58;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX90;HUB_Thyrow_D1;2011;PO;;;;;;;;;8465.77;;;;;;;;;;;;;;;;;;;;;;;
EX91;HUB_Thyrow_D1;2011;WC;;;1291.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX92;HUB_Thyrow_D1;2011;WR;;;4029.85;;4164.25;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX93;HUB_Thyrow_D1;2011;WW;;;3940.38;;2798.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX94;HUB_Thyrow_D1;2011;PO;;;;;;;;;7179.67;;;;;;;;;;;;;;;;;;;;;;;
EX95;HUB_Thyrow_D1;2011;WC;;;1302.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX96;HUB_Thyrow_D1;2011;WR;;;3823.98;;3722.49;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX97;HUB_Thyrow_D1;2011;WW;;;3609.76;;2644.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX98;HUB_Thyrow_D1;2011;PO;;;;;;;;;2527.78;;;;;;;;;;;;;;;;;;;;;;;
EX99;HUB_Thyrow_D1;2011;WC;;;593.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX100;HUB_Thyrow_D1;2011;WR;;;1629.58;;3476.09;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX101;HUB_Thyrow_D1;2011;WW;;;1363.17;;994.22;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX102;HUB_Thyrow_D1;2011;PO;;;;;;;;;7802.35;;;;;;;;;;;;;;;;;;;;;;;
EX103;HUB_Thyrow_D1;2011;WC;;;1415.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX104;HUB_Thyrow_D1;2011;WR;;;3836.7;;4708.44;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX105;HUB_Thyrow_D1;2011;WW;;;4085.66;;3312.46;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX106;HUB_Thyrow_D1;2011;PO;;;;;;;;;7609.46;;;;;;;;;;;;;;;;;;;;;;;
EX107;HUB_Thyrow_D1;2011;WC;;;2464.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX108;HUB_Thyrow_D1;2011;WR;;;5941.8;;6213.63;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX109;HUB_Thyrow_D1;2011;WW;;;6136.47;;4511.4;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX110;HUB_Thyrow_D1;2011;PO;;;;;;;;;7499.4;;;;;;;;;;;;;;;;;;;;;;;
EX111;HUB_Thyrow_D1;2011;WC;;;2182.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX112;HUB_Thyrow_D1;2011;WR;;;5612.68;;5385.66;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX113;HUB_Thyrow_D1;2011;WW;;;5246.8;;4106.81;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX114;HUB_Thyrow_D1;2012;PO;;;;;;;;;1448.69;;;;;;;;;;;;;;;;;;;;;;;
EX115;HUB_Thyrow_D1;2012;WR;;;1514.77;;1966.17;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX116;HUB_Thyrow_D1;2012;WW;;;873.33;;581.01;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX117;HUB_Thyrow_D1;2012;PO;;;;;;;;;6006.37;;;;;;;;;;;;;;;;;;;;;;;
EX118;HUB_Thyrow_D1;2012;WC;;;812.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX119;HUB_Thyrow_D1;2012;WR;;;3430.39;;4180.41;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX120;HUB_Thyrow_D1;2012;WW;;;2687.72;;2283.84;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX121;HUB_Thyrow_D1;2012;PO;;;;;;;;;8259.58;;;;;;;;;;;;;;;;;;;;;;;
EX122;HUB_Thyrow_D1;2012;WC;;;941.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX123;HUB_Thyrow_D1;2012;WR;;;4213.09;;5365.05;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX124;HUB_Thyrow_D1;2012;WW;;;3330.36;;3113.76;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX125;HUB_Thyrow_D1;2012;PO;;;;;;;;;5938.85;;;;;;;;;;;;;;;;;;;;;;;
EX126;HUB_Thyrow_D1;2012;WC;;;993.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX127;HUB_Thyrow_D1;2012;WR;;;3622.97;;4509.65;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX128;HUB_Thyrow_D1;2012;WW;;;2309.53;;2735.28;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX129;HUB_Thyrow_D1;2012;PO;;;;;;;;;834.26;;;;;;;;;;;;;;;;;;;;;;;
EX130;HUB_Thyrow_D1;2012;WR;;;2294.72;;2801.7;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX131;HUB_Thyrow_D1;2012;WW;;;838.31;;2214.3;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX132;HUB_Thyrow_D1;2012;PO;;;;;;;;;5773.06;;;;;;;;;;;;;;;;;;;;;;;
EX133;HUB_Thyrow_D1;2012;WC;;;879.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX134;HUB_Thyrow_D1;2012;WR;;;3843.72;;4674.33;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX135;HUB_Thyrow_D1;2012;WW;;;3208.05;;2810.92;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX136;HUB_Thyrow_D1;2012;PO;;;;;;;;;7327.31;;;;;;;;;;;;;;;;;;;;;;;
EX137;HUB_Thyrow_D1;2012;WC;;;1486.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX138;HUB_Thyrow_D1;2012;WR;;;5227.08;;6449.94;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX139;HUB_Thyrow_D1;2012;WW;;;4973.37;;3992.94;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX140;HUB_Thyrow_D1;2012;PO;;;;;;;;;5802.86;;;;;;;;;;;;;;;;;;;;;;;
EX141;HUB_Thyrow_D1;2012;WC;;;1546.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX142;HUB_Thyrow_D1;2012;WR;;;4737.47;;5396.9;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX143;HUB_Thyrow_D1;2012;WW;;;3762.68;;3211.12;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX144;HUB_Thyrow_D1;2013;PO;;;;;;;;;2559.52;;;;;;;;;;;;;;;;;;;;;;;
EX145;HUB_Thyrow_D1;2013;WC;;;1265.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX146;HUB_Thyrow_D1;2013;WR;;;1761.09;;2173.33;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX147;HUB_Thyrow_D1;2013;WW;;;782.11;;904.79;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX148;HUB_Thyrow_D1;2013;PO;;;;;;;;;7047.25;;;;;;;;;;;;;;;;;;;;;;;
EX149;HUB_Thyrow_D1;2013;WC;;;3182.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX150;HUB_Thyrow_D1;2013;WR;;;5147.83;;3630.27;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX151;HUB_Thyrow_D1;2013;WW;;;3142.18;;3507.58;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX152;HUB_Thyrow_D1;2013;PO;;;;;;;;;7987.01;;;;;;;;;;;;;;;;;;;;;;;
EX153;HUB_Thyrow_D1;2013;WC;;;3858.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX154;HUB_Thyrow_D1;2013;WR;;;5996.57;;5188.19;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX155;HUB_Thyrow_D1;2013;WW;;;4179.04;;4328.83;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX156;HUB_Thyrow_D1;2013;PO;;;;;;;;;7357.18;;;;;;;;;;;;;;;;;;;;;;;
EX157;HUB_Thyrow_D1;2013;WC;;;3252.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX158;HUB_Thyrow_D1;2013;WR;;;5881.91;;5289.16;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX159;HUB_Thyrow_D1;2013;WW;;;4472.21;;4602.52;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX160;HUB_Thyrow_D1;2013;PO;;;;;;;;;3182.83;;;;;;;;;;;;;;;;;;;;;;;
EX161;HUB_Thyrow_D1;2013;WC;;;1021.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX162;HUB_Thyrow_D1;2013;WR;;;2174.12;;3172.8;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX163;HUB_Thyrow_D1;2013;WW;;;605.75;;2622.29;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX164;HUB_Thyrow_D1;2013;PO;;;;;;;;;7603.11;;;;;;;;;;;;;;;;;;;;;;;
EX165;HUB_Thyrow_D1;2013;WC;;;2871.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX166;HUB_Thyrow_D1;2013;WR;;;4524.43;;4438.89;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX167;HUB_Thyrow_D1;2013;WW;;;3426.38;;3997.21;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX168;HUB_Thyrow_D1;2013;PO;;;;;;;;;10830.61;;;;;;;;;;;;;;;;;;;;;;;
EX169;HUB_Thyrow_D1;2013;WC;;;3548.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX170;HUB_Thyrow_D1;2013;WR;;;6114.9;;5665.44;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX171;HUB_Thyrow_D1;2013;WW;;;4067.01;;5466.07;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX172;HUB_Thyrow_D1;2013;PO;;;;;;;;;9304.84;;;;;;;;;;;;;;;;;;;;;;;
EX173;HUB_Thyrow_D1;2013;WC;;;3323.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX174;HUB_Thyrow_D1;2013;WR;;;6162.65;;5617.44;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX175;HUB_Thyrow_D1;2013;WW;;;4139.76;;5496.4;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX176;HUB_Thyrow_D1;2014;PO;;;;;;;;;4637.98;;;;;;;;;;;;;;;;;;;;;;;
EX177;HUB_Thyrow_D1;2014;WC;;;788.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX178;HUB_Thyrow_D1;2014;WR;;;1689.35;;1659.26;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX179;HUB_Thyrow_D1;2014;WW;;;1137.74;;896;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX180;HUB_Thyrow_D1;2014;PO;;;;;;;;;7373.78;;;;;;;;;;;;;;;;;;;;;;;
EX181;HUB_Thyrow_D1;2014;WC;;;2330.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX182;HUB_Thyrow_D1;2014;WR;;;4317.42;;4750.37;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX183;HUB_Thyrow_D1;2014;WW;;;3825.5;;3543.39;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX184;HUB_Thyrow_D1;2014;PO;;;;;;;;;7936.11;;;;;;;;;;;;;;;;;;;;;;;
EX185;HUB_Thyrow_D1;2014;WC;;;2783.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX186;HUB_Thyrow_D1;2014;WR;;;5338.92;;6317.99;;;;;;;;;;;;;;;;;;;;;;;;;;;
