name;position in array;low;high;stepsize;optguess;minbound;maxbound;derived params
StageKcFactor;1;0.3;0.5;0.01;;;;
StageKcFactor;2;0.5;0.9;0.01;;;;
StageKcFactor;3;0.8;1.4;0.01;;;;
StageKcFactor;4;0.8;1.4;0.01;;;;
StageKcFactor;5;0.6;1;0.01;;;;
StageKcFactor;6;0.1;0.4;0.01;;;;
CropSpecificMaxRootingDepth;;0.9;1.7;0.01;;;;
RootPenetrationRate;;0.001;0.0015;0.0001;;;;
SpecificRootLength;;210;390;1;;;;
DroughtStressThreshold;1;0.7;1;0.01;;;;
DroughtStressThreshold;2;0.6;1;0.01;;;;
DroughtStressThreshold;3;0.7;1;0.01;;;;
DroughtStressThreshold;4;0.7;1;0.01;;;;
DroughtStressThreshold;5;0.6;1;0.01;;;;
DroughtStressThreshold;6;0.5;1;0.01;;;;