exp_ID,sim file,crop file,site file,climate file,species params,cv params,position in rotation *,crop ID (as in crop.json),"*separate with ""-"" if the crop has more than one position"
EX580,sim.json,crop.json,site.json,weather13,barley.json,barley/spring-barley.json,0,SB,
EX581,sim.json,crop.json,site.json,weather13,barley.json,barley/spring-barley.json,0,SB,
EX582,sim.json,crop.json,site.json,weather13,barley.json,barley/spring-barley.json,0,SB,
EX583,sim.json,crop.json,site.json,weather13,barley.json,barley/spring-barley.json,0,SB,
EX674,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX675,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX676,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX677,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX678,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX679,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX680,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX681,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX682,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX683,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX684,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX685,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX686,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX687,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX688,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX689,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX690,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX691,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX692,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX693,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX694,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX695,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX696,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX697,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX706,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX707,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX708,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX709,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX710,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX711,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX712,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX713,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX722,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX723,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX724,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX725,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX726,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX727,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX728,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX729,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX730,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX731,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX732,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX733,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX734,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX735,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX736,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX737,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX738,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX739,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX740,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX741,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX742,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX743,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX744,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX745,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX746,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX747,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX748,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX749,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX750,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX751,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX752,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX753,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX758,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX759,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX760,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX761,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX762,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX763,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX764,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
EX765,sim.json,crop.json,site.json,weather15,barley.json,barley/spring-barley.json,0,SB,
