Irrigation;Date;Amount_mm
irrig1;04.05.2016;10
irrig2;04.05.2016;10
irrig2;10.05.2016;10
irrig2;17.05.2016;10
irrig2;23.05.2016;10
irrig2;31.05.2016;10
irrig2;08.06.2016;10
irrig2;23.06.2016;10
irrig2;30.06.2016;10
irrig3;26.04.2017;10
irrig3;12.05.2017;10
irrig3;18.05.2017;10
irrig3;23.05.2017;10
irrig3;29.05.2017;10
irrig3;01.06.2017;10
irrig3;20.06.2017;10
irrig4;26.05.2018;25
irrig4;14.06.2018;20
irrig4;21.06.2018;30
irrig4;30.06.2018;32
irrig4;07.07.2018;30
irrig4;19.07.2018;30
irrig4;27.07.2018;30
irrig4;04.08.2018;30
irrig4;09.08.2018;30
irrig4;21.08.2018;30
irrig5;18.04.2019;25
irrig5;05.05.2019;30
irrig5;23.05.2019;24
irrig5;30.05.2019;24
irrig5;07.06.2019;24
irrig5;20.06.2019;24
irrig6;09.06.2020;10
irrig6;17.06.2020;25
irrig6;25.06.2020;35
irrig6;05.07.2020;25
irrig6;23.07.2020;35
irrig6;03.08.2020;15
irrig7;29.04.2009;15
irrig7;30.04.2009;15
irrig7;04.05.2009;15
irrig8;27.04.2009;15
irrig8;28.04.2009;15
irrig8;04.05.2009;15
irrig9;15.06.2010;5.56
irrig9;16.06.2010;5.56
irrig9;23.06.2010;29.04
irrig9;01.07.2010;14.21
irrig9;09.07.2010;13.9
irrig9;12.07.2010;12.97
irrig10;30.06.2010;14.32
irrig11;15.06.2011;32
irrig12;06.05.2011;17.5
irrig12;13.05.2011;16.5
irrig12;17.05.2011;15.5
irrig12;30.05.2011;17.5
irrig12;06.06.2011;17
irrig12;15.06.2011;32
irrig13;06.05.2011;14
irrig13;13.05.2011;14
irrig13;17.05.2011;14
irrig13;30.05.2011;15
irrig13;31.05.2011;15.5
irrig13;06.06.2011;31.5
irrig13;16.06.2011;32
irrig14;16.05.2012;10.7
irrig14;21.05.2012;10
irrig14;22.05.2012;10.2
irrig14;30.05.2012;10
irrig15;30.05.2012;10.3
irrig16;19.06.2013;27.5
irrig17;19.06.2013;27.5
irrig17;10.07.2013;31.4
irrig18;18.06.2013;28.6
irrig18;11.07.2013;28.2
irrig18;18.07.2013;31.8
irrig18;24.07.2013;16.3
irrig18;25.07.2013;15.5
irrig19;24.05.2013;24.5
irrig19;18.06.2013;28.6
irrig20;29.04.2014;29.09
irrig20;13.05.2014;13.64
irrig20;14.05.2014;14.09
irrig20;12.06.2014;30
irrig20;19.06.2014;15.15
irrig21;12.06.2014;30
irrig21;19.06.2014;15.15
irrig22;28.04.2014;27.27
irrig22;15.05.2014;29.55
irrig22;11.06.2014;14.55
irrig22;20.06.2014;37.27
irrig23;28.04.2014;27.27
irrig23;15.05.2014;29.55
irrig23;11.06.2014;25.46
irrig24;01.06.2015;21.8
irrig24;08.06.2015;22.1
irrig24;10.06.2015;22.1
irrig24;05.08.2015;22
irrig24;07.08.2015;23
irrig24;11.08.2015;22.5
irrig25;08.05.2015;21.7
irrig25;13.05.2015;22.3
irrig25;27.05.2015;23.4
irrig25;01.06.2015;21.8
irrig25;08.06.2015;22.1
irrig25;10.06.2015;22.1
irrig26;06.05.2015;15.3
irrig26;07.05.2015;15.5
irrig26;11.05.2015;21.8
irrig26;19.05.2015;23
irrig26;26.05.2015;22
irrig26;02.06.2015;21
irrig26;05.06.2015;22.5
irrig26;11.06.2015;23
irrig27;29.06.2016;18.5
irrig27;30.06.2016;19.1
irrig27;08.07.2016;18.9
irrig27;11.07.2016;20
irrig27;13.07.2016;18.9
irrig27;27.07.2016;20
irrig28;09.05.2016;23.3
irrig28;10.05.2016;23.1
irrig28;19.05.2016;18.9
irrig28;20.05.2016;18.8
irrig28;23.05.2016;18.9
irrig28;29.06.2016;18.5
irrig29;11.05.2016;45.5
irrig29;17.05.2016;22.5
irrig29;23.05.2016;19
irrig29;31.05.2016;18.8
irrig29;28.06.2016;19
irrig29;01.07.2016;18.3
irrig30;22.05.2017;38
irrig30;23.05.2017;19.6
irrig30;29.05.2017;38.3
irrig30;14.06.2017;19.4
irrig30;15.06.2017;20.2
irrig30;20.06.2017;19.9
irrig31;09.05.2018;22.6
irrig31;14.05.2018;29.5
irrig31;23.05.2018;17.9
irrig31;24.05.2018;16.3
irrig31;29.05.2018;13.8
irrig31;30.05.2018;16
irrig31;12.06.2018;17.9
irrig32;12.06.2018;12.1
irrig32;14.06.2018;12.1
irrig32;18.06.2018;12.1
irrig32;21.06.2018;13.3
irrig32;27.06.2018;13.3
irrig32;03.07.2018;13.3
irrig32;04.07.2018;12.2
irrig32;20.07.2018;12
irrig32;25.07.2018;11.7
irrig32;02.08.2018;16.7
irrig33;14.05.2018;10.9
irrig33;15.05.2018;24
irrig33;24.05.2018;16.7
irrig33;25.05.2018;16.7
irrig33;28.05.2018;18.9
irrig33;29.05.2018;13.3
irrig33;12.06.2018;12.1
irrig33;14.06.2018;12.1
irrig33;18.06.2018;12.1
irrig34;17.04.2019;17
irrig34;23.04.2019;13.4
irrig34;03.05.2019;15.3
irrig34;13.05.2019;16.2
irrig34;14.05.2019;15
irrig34;03.06.2019;14.6
irrig34;05.06.2019;21
irrig35;03.06.2019;14.6
irrig35;05.06.2019;21
irrig35;24.06.2019;19
irrig35;28.06.2019;14.7
irrig35;01.07.2019;15.5
irrig35;05.07.2019;17
irrig35;26.07.2019;15
irrig35;29.07.2019;16.5
irrig36;09.04.2019;12.7
irrig36;06.05.2019;15.5
irrig36;07.05.2019;15.5
irrig36;13.05.2019;14.5
irrig36;04.06.2019;13.6
irrig36;04.06.2019;16.3
irrig37;09.04.2019;12.7
irrig37;06.05.2019;15.5
irrig37;07.05.2019;15.5
irrig37;13.05.2019;14.5
irrig37;04.06.2019;13.6
irrig38;19.05.2020;17.8
irrig38;03.06.2020;15.1
irrig38;09.06.2020;17.7
irrig38;22.06.2020;17.3
irrig38;13.07.2020;17.5
irrig38;31.07.2020;17.6
irrig38;03.08.2020;17
irrig39;16.04.2020;19.8
irrig39;20.04.2020;18.5
irrig39;21.04.2020;17.3
irrig39;23.04.2020;22.4
irrig39;27.04.2020;15
irrig39;07.05.2020;21.3
irrig39;19.05.2020;17.8
irrig39;03.06.2020;15.1
irrig39;09.06.2020;17.7
irrig39;22.06.2020;17.3
irrig40;16.04.2020;17.6
irrig40;21.04.2020;16.8
irrig40;11.05.2020;14.9
irrig40;18.05.2020;17.3
irrig40;08.06.2020;17.3
irrig40;23.06.2020;15.3
irrig41;28.06.2021;13.5
irrig41;29.06.2021;14.2
irrig42;10.05.2021;15.5
irrig42;11.05.2021;14.6
irrig42;08.06.2021;14.4
irrig42;09.06.2021;15.2
irrig42;15.06.2021;29.9
irrig42;22.06.2021;29.7
irrig42;28.06.2021;13.5
irrig42;29.06.2021;14.2
irrig43;10.05.2021;14.6
irrig43;11.05.2021;14.1
irrig43;07.06.2021;14.6
irrig43;08.06.2021;13.4
irrig43;16.06.2021;24.8
irrig43;21.06.2021;28.4
irrig43;29.06.2021;27.4
irrig44;10.05.2022;15.6
irrig44;02.06.2022;9.5
irrig44;07.06.2022;14.7
irrig44;14.06.2022;16.1
irrig44;15.06.2022;15
irrig45;09.05.2022;23.6
irrig45;02.06.2022;9.5
irrig45;07.06.2022;14.7
irrig45;14.06.2022;16.1
irrig45;15.06.2022;15
irrig46;09.05.2022;23.6
irrig46;16.05.2022;37
irrig46;07.06.2022;14.7
irrig46;14.06.2022;16.1
irrig46;15.06.2022;15
irrig47;17.06.2022;22.7
irrig47;28.06.2022;14.9
irrig47;15.07.2022;15.4
irrig47;18.07.2022;14.6
irrig47;23.07.2022;12.7
irrig47;01.08.2022;12.8
irrig47;04.08.2022;14.4
irrig47;05.08.2022;15.2
irrig47;09.08.2022;14.7
irrig47;16.08.2022;15.3
irrig48;06.05.2000;24
irrig48;13.05.2000;24
irrig48;06.06.2000;21
irrig49;25.06.2001;20
irrig49;26.07.2001;21
irrig49;31.07.2001;22
irrig49;15.08.2001;22
irrig49;22.08.2001;22
irrig50;22.05.2002;21
irrig50;04.06.2002;19
irrig50;09.07.2002;20
irrig51;23.04.2003;13
irrig51;06.05.2003;17
irrig51;13.05.2003;15
irrig51;28.05.2003;18
irrig52;01.07.2004;14.5
irrig52;04.08.2004;28
irrig52;12.08.2004;21
irrig52;15.09.2004;20
irrig53;24.05.2005;15
irrig53;01.06.2005;19
irrig53;10.06.2005;15
irrig53;16.06.2006;17
irrig53;22.06.2006;19
irrig53;28.06.2006;18
irrig53;06.07.2006;18
irrig54;20.07.2007;12.1
irrig54;08.08.2007;11.4
irrig54;10.08.2007;10.7
irrig55;27.06.2008;10
irrig55;23.07.2008;10
irrig55;25.07.2008;10
irrig55;28.07.2008;12
irrig55;30.07.2008;12
irrig55;11.08.2008;15
irrig56;30.07.2008;20
irrig57;17.06.2019;20
irrig57;18.06.2019;10
irrig57;19.06.2019;20
irrig57;24.06.2019;20
irrig57;27.06.2019;25
irrig57;01.07.2019;20
irrig57;04.07.2019;15
irrig57;08.07.2019;15
irrig57;11.07.2019;15
irrig57;19.07.2019;15
irrig57;25.07.2019;15
irrig57;26.07.2019;15
irrig57;13.08.2019;20
irrig58;05.06.2019;20
irrig58;17.06.2019;20
irrig58;18.06.2019;10
irrig58;19.06.2019;20
irrig58;24.06.2019;20
irrig58;27.06.2019;25
irrig58;01.07.2019;20
irrig59;17.06.2021;20
irrig59;23.06.2021;20
irrig59;15.07.2021;20
irrig59;22.07.2021;20
irrig59;05.08.2021;20
irrig59;17.08.2021;20
irrig59;18.08.2021;10
irrig60;09.06.2021;20
irrig60;17.06.2021;20
irrig60;23.06.2021;20
irrig60;17.08.2021;20
irrig60;18.08.2021;10
irrig61;13.06.2022;20
irrig61;23.06.2022;20
irrig61;30.06.2022;20
irrig61;15.07.2022;20
irrig61;22.07.2022;20
irrig61;26.07.2022;20
irrig61;29.07.2022;20
irrig61;05.08.2022;20
irrig61;12.08.2022;20
irrig61;17.08.2022;20
irrig62;13.06.2022;20
irrig62;23.06.2022;20
irrig63;06.06.2023;20
irrig63;15.06.2023;20
irrig63;04.07.2023;20
irrig63;13.07.2023;20
irrig63;19.07.2023;20
irrig64;06.06.2023;20
irrig64;15.06.2023;20
irrig65;05.06.2008;20
irrig65;20.06.2008;10
irrig65;25.06.2008;20
irrig65;01.07.2008;20
irrig66;06.07.2009;4
irrig66;17.07.2009;20
irrig66;31.07.2009;24
irrig66;06.08.2009;22
irrig66;11.08.2009;21
irrig66;19.08.2009;31
irrig67;21.06.2010;25
irrig67;29.06.2010;22
irrig67;05.07.2010;24
irrig67;09.07.2010;27
irrig67;15.07.2010;28.5
irrig67;02.08.2010;33
irrig68;30.06.2011;22
irrig69;14.06.2012;24
irrig69;01.08.2012;22
irrig69;09.08.2012;27
irrig69;17.08.2012;28
irrig70;12.07.2013;26
irrig70;19.07.2013;27
irrig70;26.07.2013;25
irrig71;16.05.2013;28
irrig71;23.05.2013;16
irrig71;19.06.2013;25
irrig72;22.07.2014;25
irrig72;24.07.2014;20
irrig72;28.07.2014;11
irrig72;20.08.2014;20
irrig72;27.08.2014;20
irrig73;02.07.2015;20
irrig73;07.07.2015;21
irrig73;20.07.2015;10
irrig73;22.07.2015;14
irrig73;29.07.2015;20
irrig73;03.08.2015;20
irrig73;06.08.2015;20
irrig73;10.08.2015;20
irrig73;13.08.2015;20
irrig73;18.08.2015;20
irrig73;24.08.2015;15
irrig74;20.05.2016;15
irrig74;04.07.2016;20
irrig74;13.07.2016;20
irrig74;20.07.2016;20
irrig74;22.07.2016;12
irrig74;25.07.2016;20
irrig74;16.08.2016;20
irrig75;22.05.2017;20
irrig75;29.05.2017;20
irrig75;02.06.2017;15
irrig75;09.06.2017;10
irrig75;15.06.2017;20
irrig75;20.06.2017;20
irrig76;31.05.2018;15
irrig76;13.06.2018;20
irrig76;19.06.2018;20
irrig76;27.06.2018;20
irrig76;02.07.2018;20
irrig76;06.07.2018;20
irrig76;25.07.2018;30
irrig76;02.08.2018;20
irrig76;07.08.2018;20
